docID	label	text
teaching the cataloging of non book media	1978	a course in the cataloging of non book media may need to include a number of diverse cataloging codes in addition to a wide variety of media this breadth of scope can benefit from a consideration of questions on the nature of media related areas of concern are the objectives of an access system for non book media and the means by which these objectives can be achieved the medium of film is provided as an illustration of this approach
latino librarians on becoming lis educators an exploratory investigation of the barriers in recruiting latino faculty	2004	library and information science lis schools have produced a limited number of latino masters in library science mls graduates but they have not attracted them back to pursue doctoral studies and teaching positions using a semi structured interview technique eight expert latino librarians were interviewed for their perspectives on the barriers preventing latino lis professionals from pursuing positions as lis faculty this exploratory investigation identifies four specific barriers which are perceived as contributing to the lack of latino lis faculty isolation from the academy ethnocentrism within lis education financial concerns and personal concerns
gendered narratives of innovation through competition lessons from science and technology studies	2013	library and information science is a technologically intensive profession with a high percentage of women unlike computer science and other male dominated fields on the occasion of the 2011 alise conference this essay analyzes the theme competitiveness and innovation through a review of social psychology and science and technology studies literature both theme concepts have ramifications for lis education librarianship and teaching are both professions that resist commodification because they rely on embodied labor and personal interaction competition as a management or learning style may not promote meaningful innovation in lis education and instead risks creating a climate that is hostile to its chief demographic the feminization of lis can be seen as a strength insofar as it promotes the relative parity in numbers of men and women full time faculty lis education should build on this strength in its innovation practices enabling friendly encounters between technologies and men and women alike
the library internship and expo as a pathway to diversity a case study	2006	college and university libraries need to develop undergraduate internships to encourage low income and ethnic minority students to enter the library profession such internships can be run on limited budgets this article presents a case study model for an internship program and its related promotional efforts currently in place at california state university bakersfield the article discusses the need for greater ethnic diversity in libraries and the value of internships as a tool to confront minority underrepresentation in the library profession
thematic mapping data mapping and geocoding techniques for analyzing library and information center data	1995	methodologies based on computerized geographical information systems gis are appearing with regularity in the library and information science literature and conference proceedings this article illustrates and discusses several specific gis techniques available to lis researchers administrators planners and instructors these techniques include thematic mapping shading coloring or using various sized symbols to indicate amount and type data maps positioning actual data on maps rather than on tables and geocoding positioning addresses obtained from various reference sources to specific points on a map maps are used to illustrate the techniques recommended for more widespread use among library and information researchers
the application of the usability approach in libraries and information centers for resource selection and deployment	1998	libraries and information centers most often rely on published reviews vendors demonstrations brief visits to local sites or word of mouth to select resources for in house or public use the usability approach developed in the field of human computer interaction hci strives to test the ease of use user satisfaction and effectiveness of software hardware and information products for a range of users to understand how users interact with products usability analysts employ methods from task analyses and rapid prototyping in informal settings to talk aloud protocols in specially equipped usability laboratories for example oclc and lexis nexis have maintained usability laboratories for several years to assist in the design of their software products the application of the usability approach for research in information studies and to support library and information center purchase and implementation decisions holds much promise this work presents an overview of the major methods of usability analysis and indicates how they can be used efficiently and effectively by information professionals in real work environments to improve selection and deployment of hardware software and information products also included is a discussion of the current and future role of usability in the formal education of information professionals
doctorate recipients in library science how they compare with doctorate recipients in other disciplines	1992	characteristics of doctorate recipients in library science were compared with those in other disciplines to identify factors that may aid in the recruitment and retention of ph d students in library and information science programs factors explored include 1 trends in the annual production of doctoral degrees 2 characteristics of lis doctorate recipients including gender race citizenship undergraduate major institutions of higher education attended median age median length of time taken to complete the doctorate and postdoctoral plans and 3 differences between those library science doctorate recipients planning to teach and those planning other professional careers data were derived from a special tabulation of the national research councils annual survey of earned doctorates 1970 1990 interviews with deans directors responsible for administering library and information science doctoral programs were also conducted to ascertain what they consider to be major challenges facing them in regard to recruitment and retention of doctoral students at their own institutions
the impact of differing orientations of librarians on the process of childrens book selection a case study of library tensions	1978	this paper represents an attempt to apply current organizational theory to the understanding of a large juvenile library systems selection goals and guidelines writings on goal conflict within organizations suggest that the two groups characteristically involved in a large librarys book selection process the coordinators and branch librarians would display differing orientations toward the process which would result in conflicting objectives and organizational tensions a case study using nonparticipant observation interviews and a questionnaire survey was carried out to examine this hypothesis the findings challenge the traditional view of forces guiding book selection in a childrens library
combining qualitative and quantitative methodologies to study the effects of an academic boycott on academics in south africa	1993	this article presents a comparison of data relating to the same phenomenon but deriving from different methodologies a mail survey and interviews were used to assess the effects of an academic boycott on south african academics the mail survey included categorical and open ended questions that measured reports of direct experiences of the boycott tactics as effects of the boycott the open ended questions indicated themes of effect of the boycott for further exploration through focused interviews focused interviews were used to provide depth and specificity of the effects through the personal accounts of a subsample of respondents analysis of the data supported the value of looking at effects of the boycott in different ways the quantitative survey data indicated that 573 percent of the respondents claimed a direct experience of one or more boycott tactics while the qualitative data derived from interviews revealed significant psychological effects on south african academics
books for black children public library collections in louisville and nashville 1915 1925	2000	in the early twentieth century both louisville kentucky and nashville tennessee provided racially segregated public library collections and services in each case children became a central focus of the work librarians who developed the childrens collections in library branches staffed and used exclusively by african americans were limited by the need to educate as well as entertain the dearth of books published for and about african american children and the professional practice of relying on standard selection guides the childrens collections in louisvilles and nashvilles black branch libraries held many of the same books available in other public libraries and some of those books included demeaning characterizations and images of african americans branch librarians mediated between the children and the collections creating services such as story hours and reading clubs that supported interpretive communities of young african american readers
alphabet and bibliological terms in some early judeo christian literature	1970	texts presented from the gospel of pseudo thomas and the contra haereses of irenaeus both written before ad 200 employ the word alphabet and are earlier than d diringers citation for its first appearance in literature bibliological terms found in the apocrypha and pseudepigrapha of the bible and some early christian literature are translated and presented in their context and discussed it is concluded that some terms are not adequately treated in the standard lexica thus thorough examinations of such terms in individual christian writers of this early period are still needed
trapped in our own discursive formations toward an archaeology of library and information science	2003	this article introduces michel foucaults archaeology of knowledge as a way of addressing what wayne weigand has termed tunnel vision and blind spots in the discipline of library and information science lis invoking foucaults archaeology in the context of wiegands problematic provides a framework in which to understand 1 how the discursive formation of lis is itself a problem to be analyzed beside others 2 how the nature of the discursive formation hinders potentially fruitful research in lis and 3 how understanding wiegand in terms of foucault can help to generate a new self reflexive and critical attitude among lis scholars to their own discursive formation and the discursive formations of others
the access gap poverty and characteristics of school library media centers	2011	stephen krashen believes that schools can counter the effects of poverty in at least one area access to books however little research has been done to determine whether students living in poverty have access to school library services comparable to those attending schools with low concentrations of students living in poverty we examined the school library access gap namely the differences in school library characteristics staffing books added to collection schedule and number of days closed in schools with various concentrations of students living in poverty alarmingly we found that the students in most needâ€”those attending schools with the highest concentrations of students living in poverty had the fewest school library resources to draw on findings suggest that if we hope to close achievement gaps between high and low socioeconomic groups we must attend to the access gap in school libraries in high  and low poverty schools
inducing attitudinal change among librarians	1971	using the semantic differential the attitudes of 35 public librarians participating in a training program on library service to the inner city were measured before and after the conference a group of 30 public librarians in similar positions in large cities was randomly selected and measured with the same instrument to serve as a basis of comparison and control three of the five concepts tested community involvement in planning library programs the urban poor and library institutes as educational devices underwent statistically significant changes as a result of the five day institute comparing the post test scores of participants and the control group reveals that participants opinions of four of the five issues moved in the opposite direction from the views of their colleagues a discussion of two competing theories of why attitudes change in institute settings interpersonal context versus ideational content follows with hypotheses for testing their relative influence
a conceptual model of factors influencing the outcome of challenges to library materials in secondary school settings	1993	this study addresses the research question what are the variables that influence the outcome of challenges to school library materials at the secondary level a conceptual model is provided that describes the outcome of challenges to materials in terms of retention restriction and removal the model was derived from research findings in library and information science educational administration behavioral science and communications and suggests that the path from the challenge to the outcome is complex the model contains several classes of variables including district materials selection policy school environment community environment and initiator of challenge variable classes of special interest in the present study are the characteristics of the librarian which emphasize the psychological factors of locus of control and dogmatism and complaint background which focuses on whether the complaint was oral or written and whether there was active support for the retention or the removal of materials the validity of the model was tested using survey research methods with a national sample of school librarians reporting challenges to materials the results were found generally to support the model
old skills and new practices mean radical change for library education	2016	technological advances and other societal change have resulted in public libraries increased reliance on online resources when providing access to information however a portion of those served by public libraries includes members of urban poor populations who may prefer to interact with information by talking how can library educators ensure graduates are prepared to serve these populations using the participatory action research method this paper reports the oral present research project this project is part of an on going study conducted to identify how public libraries studied meet the information needs of this constituency results reveal how current service practices involve a radical twist on using traditional collection development skills discussion includes recommendations to ensure library education curricula can better prepare graduates for applying age old professional practices in radical new ways
employee turnover among full time public librarians	1989	analysis of employee turnover is common in business and industry understanding the cause and magnitude of turnover can help assess basic aspects of the organization such as the adequacy of pay hiring practices and evaluation procedures fairness of supervision effectiveness of communication and quality of leadership unfortunately turnover analysis in librarianship is rare the purpose of this study is to examine employee turnover in thirty one public libraries in the midwest particular emphasis is placed on establishing base line turnover rates and examining the relationship of gender to turnover behavior among the findings are that 1 turnover rates are low compared to other occupations and 2 turnover rates of males and females are similar but females are more likely to leave their jobs for family and personal reasons
labor market segmentation and librarian salaries	1987	librarian earnings functions have been found to differ by type of library and by sex within library type the present study uses segmented labor market theory to explain how the structure of the library labor market may determine salary differences by type of library data on the public academic and school library labor markets are used to show that the library labor market is segmented by type of library that this segmentation contributes to the observed differences in earnings functions by type of library and that the segmentation of the library labor market reflects segmentation of the labor market generally a secondary result of this study is that it shows the value of intraoccupational studies like this one for a full understanding of labor market segmentation by finding evidence of labor market segmentation at the intraoccupational level it shows that the more usual approach to segmented labor markets comparing entire occupations or industries may obscure important differences
constraints on the development of public library service in nigeria	1985	despite much development since its introduction into nigeria in 1946 public library service is used today by less than 1 percent of the population this article based on a review of the literature and on eight years of library experience in nigeria attempts to explain why the main constraints have been the irrelevance of the service offered to the illiterate who compose up to two thirds of the adult population and the fact that those who are literate and have access to libraries rarely use them for other than educational purposes and stop using them when their educational goals are achieved or given up other constraints include the redivision of nigeria into smaller internal units lack of professional leadership government legislation backing and financial support in certain states staffing problems and the difficulty of extending service outside the urban areas
library and information science students feedback in an online course	2011	the aim of the current research is to analyze the content of the messages expressed by lis students in online courses as feedback with the purpose of understanding the main themes being articulated by lis university and college students and examining whether there is a difference between the themes of lis university students and those of lis college students as revealed in their feedback the paper provides a quantitative and a qualitative content analysis of feedbacks assigned to an online course taught in israel findings show that the major theme expressed in lis student feedback is their personal impression of their online experience followed by the reflection category and the collaboration one the smallest categories focus on course material and on course management furthermore findings present that lis university students are more satisfied with their online learning experience and that lis university students discuss and express more reflective analytic meta cognitive aspects of the learning process than their lis college counterparts
teens technology and libraries	2016	a growing body of research examines teens use of digital technologies to meet their academic and personal information needs but few studies have considered how public and school libraries fit into modern teens information practices this study uses data from surveys of and interviews with 25 teens enrolled in a highly technological urban us high school to consider how the prevalence of technology in their daily lives has influenced their perceptions and use of libraries the results indicated that this group of students tended to think of libraries as largely outdated institutions with little connection to their technology focused daily information practices thus libraries might better serve teens with high levels of technology access by reframing their services in terms of promoting social interaction and community building as well as focusing less on providing materials and technology access and more on teaching how to search and evaluate information housed outside of libraries physical and virtual boundaries
librarians as organic intellectuals a gramscian approach to blind spots and tunnel vision	2003	in the january 1999 issue of library quarterly wayne wiegand suggests that library and information science lis has failed to critically examine its role in relations of power and knowledge that systematically marginalize the needs of less powerful members of society what we know and what we allow ourselves to know about libraries and their users is conditioned by history and politics the work of antonio gramsci can help us to understand this situation librarians and scholars of lis occupy a space that is contested terrain in a war of position between the hegemony of the capitalist historic bloc and the subjects who would challenge that bloc to be true to its self declared principles of democratic participation gramscis insights regarding the nature of capitalist social formations and the role of intellectuals organic to these formations reveal the ambivalent social position of lis as a source of both support and resistance to capitalist hegemony
building support services for african american students part i	2001	this paper was presented at the 2001 association for library and information science education annual conference january 9 12 2001 in washington d c
a utilitarian case for intellectual freedom in libraries	2001	the article begins with an outline of the history of censorship and intellectual and expressive freedom in american libraries chiefly from the last quarter of the nineteenth century until the social responsibility movement of the late 1960s and early 1970s discussion of the two main types of ethical theory utilitarianism and deontology is next then the deontological position on intellectual freedom is presented in the context of its theory of rights the discussion of deontology is followed by a utilitarian criticism of the deontological defense of intellectual freedom then a utilitarian defense of intellectual freedom is offered and applied to libraries the article concludes by arguing that even though in theory utilitarianism would countenance some censorship in practice the utilitarian will support complete intellectual freedom it is maintained that libraries have a special role to play in promoting unconditional intellectual freedom
a critical analysis of the equity of lis education programs in sri lanka	2008	a major study involving critical analysis of library and information science lis education in sri lanka was carried out by the author covering the 2004 2007 period and the equity of lis education discussed in this paper was one element of the larger study the study on equity has three objectives 1 to provide a brief introduction to the lis education programs and the institutions which offer those programs in sri lanka 2 to analyze critically the equity of the lis programs and 3 to make recommendations for improvement four principal methods were used to collect the data required for the main research semi structured interviews questionnaires review of relevant documents and participatory observations by the researcher four criteria namely gender income geographic region and language were used to analyze the equity of lis education programs findings of the study established that there is a gender imbalance in the lis programs with 80 to 90 female students that an income inequity is evident that there is a severe inequity in the regional distribution and language of the programs the paper makes several recommendations to reduce these inequities and makes suggestions for further research
rural public libraries as community change agents	2016	rural residents are at a disadvantage with regard to health status and access to health promotion activities in many rural communities public libraries offer support through health information provision there are also opportunities for engagement in broader community health efforts in a collaborative effort between an academic researcher and a rural public library director in north carolina pedometers and an individualized online health self assessment program were made available to library users the activities were adopted enthusiastically feedback included encouragement for more such opportunities some claimed the activities improved awareness and supported healthy behavior change with minimal investment rural public libraries can support healthy lifestyle activities they also afford a unique environment where library staff can collaborate with researchers to introduce assess and evaluate community health initiatives as we train future practitioners we should embrace the opportunities that rural public libraries can provide for collaborative initiatives to invoke positive community change
to reposition a research agenda what american studies can teach the lis community about the library in the life of the user	2003	american libraries do three things very well 1 they make information accessible to millions of people on many subjects 2 they provide tens of thousands of places where patrons can meet formally as clubs or groups or informally as citizens and students utilizing a civic institution and a cultural agency and 3 they furnish billions of reading materials to millions of patrons for generations the library and information studies lis community has devoted most of its attention to the first but currently it is poorly positioned to undertake research on the second and third american studies on the other hand is well placed to address the second and third but has largely overlooked american public school and academic libraries as subjects of study this essay invites american studies scholars to develop an lis subspecialty in order to help the american library community better understand its present so that it can more prudently plan its future
tunnel vision and blind spots what the past tells us about the present reflections on the twentieth century history of american librarianship	1999	the twentieth century american library is one of this nations most understudied yet ubiquitous institutions possessing a rich history of service to millions of users who over the generations have variably appropriated library collections and services for multiple purposes for the most part however the library and information science lis research community has failed to analyze the deeper meanings of these appropriations or to evaluate their significance for library users in large part because it has yet to harness the ideas of many critical theorists whose thinking now dominates so much of the discourse occurring in other professions and academic disciplines this article constitutes a reexamination of the twentieth century history of american librarianship that is grounded on this thinking it argues that contemporary lis discourse is plagued with tunnel vision and blind spots that greatly limit the professions ability to understand the role of the american library in the present accurately and thus seriously affect the professions efforts to plan the librarys future
library based summer reading clubs who participates and why	2013	this article reports on a research study designed to identify who participates in library based summer reading clubs srcs and why they elect to do so to address this aim questionnaires were completed by caregivers of 246 children upon enrollment to the src of a metropolitan library as well as 480 youth the questionnaire was designed to learn more about enrollees with respect to basic demographics home environment and motivational attributes results of this study suggested that those who enroll in srcs are relatively diverse with respect to race ethnicity and socioeconomic status however enrollees also tend to be motivated toward reading and to be capable readers implications for broadening community members participation in srcs are discussed
is there counsel in those curtains research agendas for the times	2011	presented as the keynote address at the library research seminar university of maryland october 7 2010 this essay identifies and explores three agendas ever appropriate for study the pursuits of which are especially needed now they are as follows to 1 explore the historical dimension of library topics 2 revive study of the institution of the library in its historical dimension and 3 orient research to lead adaptation to the times particularly with regard to the relationships between libraries and other components of the information domain examples of opportunities and insights to be gained from study of topics in these agendas are drawn from the experience of exploring the history of the state library and archives of texas
profiles in retention part 1 design characteristics of a graduate synchronous online program	2013	this paper is a case study of a master of library and information studies degree program online option that has been unusually successful in retaining and graduating students design characteristics of this program that has maintained a retention rate of over 90 percent over five years are described and mapped to the literature on distance education published after its implementation the paper reports that characteristics identified in the practical and theoretical literatures are the same as or closely related to the characteristics of the program described student transcripts were used to track retention and time to completion topics for continuing study are identified and described this is the first of two papers on retention in distance learning programs the present paper part 1 addresses program design and implementation part 2 focuses on student responses to the online program option as they relate to student learning styles and outcomes
information vaccine using graphic novels as an hivaids prevention resource for young adults	2014	hivaids infections are growing at an alarming rate for young adults in 2009 youth ages 13 29 accounted for 39 of all new hiv infections in the us division of hivaids prevention centers for disease control cdc 2011 south carolina ranks eighth in the nation for new hiv cases while the capital city of columbia ranks seventh carolina teen health 2012 education and prevention efforts are needed to raise young adults awareness of hivaids issues in order to reduce this troubling trend to address this need the researchers and a graphic illustrator worked with incarcerated students age 15 19 in the south carolina department of juvenile justice school district to develop an age appropriate culturally diverse graphic novel on hivaids entitled aids in the end zone phase i of the project was to create the novel once phase i was completed phase ii of the project began during this phase graphic novel book club interventions were held with young adults in public libraries in columbia south carolina to measure knowledge gains and impact from reading the graphic novel the purpose of this phase was to examine the role that graphic novels can play as a resource for increasing hivaids awareness among young adults phase ii was funded by the 2013 alise research grant the findings of the study are reported here this study is the first of its kind to provide scientifically based research that examines whether or not graphic novels can be an effective hivaids prevention tool for young adults implications for lis education are discussed
the scattered members of an invisible republic virtual communities and paul ricoeurs hermeneutics	2002	communities whether they are real or virtual are mediated by interpretation ones place within a community is also constituted by an ongoing metaphoric reading through which one attempts to understand what others within the community say and do virtual communities are unique in making such reading explicit through further acts of writing participants form their communities through public performances of writing reading and interpreting of texts any analysis of virtual communities must take into account both the exchange of meaning through texts and the fact of a mediating distance between participants the hermeneutic theories of paul ricoeur can support an analysis of these activities which accounts for temporal and spatial distance in the exchange of the communitys texts ricoeurs hermeneutic theory can be used to describe the process that drives virtual communities which makes them into forums that attempt to connect the scattered members of an invisible republic 1 p 43 in an electronic world
in a state of emergency libraries and government control in south africa	1990	six levels are identified in the south african censorship system providing the context for consideration of one of them the state of emergency four categories of censorship emerge prior censorship and suspension of publication restraints upon information gathering the suppression of anti apartheid viewpoints and the growth of militarization the state of emergency is seen as a microcosm of the system as a whole and a comparison is made with traditional censorship of books emergency censorship is considered to be a radical tactical change whose impact on library resources and research in the humanities and social sciences is evaluated in spite of the power and pervasiveness of the censorship system it is concluded that there is still room for challenge and that a new breed of librarian is likely to play an important role in the process
the impact of multimedia course enhancements on student learning outcomes	2009	an online course was redesigned to use multimedia applications to improve student learning and promote meaningful engagement among classmates and course activities and materials consumer health informatics chi is a masters level course that examines internet based and telehealth models for delivering health information to consumers when first offered in 2007 the delivery format was primarily textual following the course redesign in 2008 the course materials including weekly topical discussion forums projects and course evaluations were compared qualitative content analyses and statistical comparison of quantitative data demonstrated significant improvements in the level of students engagement in course materials and with peers students attitudes and perceptions recorded in course evaluations also showed significant changes
why girls go wrong advising female teen readers in the early twentieth century	2007	this article traces historical uses of the phrase “why girls go wrong” to provide a context for analysis of progressive era reading guidance for girls and then turns to actual girls’ responses to reading the historic context depicts the milieu in which young women and the advisors who sought to guide them lived and read as a time of intense concern with adolescent female sexual activity further the era also witnessed suspicion about the way that public spaces were used particularly by women and girls librarians constructed through arguments that selected titles that represented persuasively pure and feminine ideals a female sphere in the public library images of the early twentieth‐century library as a wholesome protective space for young women acknowledged contemporary social issues and responded to ensure that the bookish domains would be seen as appropriate venues for adolescent girls
historic cataloging costs issues and trends	1989	the length of lc cataloging cards in number of characters increased 245 percent between 1956 and 1981 the number of entries 1302 percent the number of fields 969 percent and the number of subject heading subdivisions 1562 percent there is a trend toward longer and more complex cataloging copy and a small countertrend toward less than aacr2 cataloging most academic libraries 692 percent are unable to state what their cataloging costs are since 1876 the wholesale commodity price index has increased 729 percent the price of gold another measure of inflation 1590 percent and the cost of cataloging for large libraries from 040 per volume to 1717 per volume or 4292 percent since 1896 librarians annual salaries have increased from 607 to 28533 or 4700 percent cataloging costs have increased faster than the rate of inflation but more slowly than the rate of salary increases
aftermath of a crusade world war i and the enlarged program of the american library association	1980	shortly after the united states entered world war i the american library association ala embarked on an ambitious program the library war service to furnish library materials and services to an american army of several million men the considerable success of this wartime venture coupled with the nations postwar euphoria prompted the ala leadership to sponsor in the early months of 1919 a project known as the enlarged program the enlarged program was a major initiative to revitalize library services and to establish ala as the dominant force in library affairs among the proposals were continuation of selected war related services closer liaison with other professional groups new programs of service for adults and immigrants promotion of library extension certification of professional education and constitutional revision to achieve these objectives a 2 million fund drive was authorized despite the best of intentions the enlarged program turned into alas most humiliating defeat until that time the objectives campaign strategy ideology and reception of the enlarged program are considered and assessed
collection development and circulation policies in prison libraries an exploratory survey of librarians in us correctional institutions	2012	prison libraries have traditionally fulfilled many purposes for their incarcerated patrons and these libraries often carry a diverse collection to serve varied patron needs however during the trial of steven hayes for the petit family murders the prosecution questioned the collection development policies of the institutions where hayes had previously been incarcerated requesting the reading lists in efforts to prove that his salacious choices in literature fueled his crimes this request by prosecution brought two major issues into question including 1 the collection development policies of us prison libraries and 2 the question of patron privacy in prison libraries this article investigates current prison library policies on collection development and confidentiality of patron borrowing records through an exploratory survey of seventeen librarians currently working in correctional institutions throughout the united states their responses detail collection development policies in the prison library and present the ambiguity for handling the confidentiality of patron borrowing records
interracial childrens books problems and progress	1971	this article discusses why in the middle 1960s many writers editors and publishers became keenly aware that racial minority groups were very inadequately represented in childrens books and considers some of what has happened in the past five years to redress this situation the following four aspects of these subjects are treated 1 factors which created interest in the problem of racial imbalance in childrens books with a brief history of racial attitudes in childrens books published since the 1890s 2 conditions which until recently have impeded publication of interracial childrens books descriptions of several recent series publications for teen agers from minority groups and reviews of the activities of the council on interracial books 3 the recent black power movement in the world of childrens books and 4 an evaluation of four recent interracial childrens trade books
certification and education for library and information science	1984	pressure from librarians about the quality and content of library education programs has combined with concern for affirmative action and the legal requirements for employee selection to create an uncertain future for the mls degree certification has been suggested as a means of assuring the quality of persons employed as librarians and as a means of maintaining the library professions control over the education of librarians the american library association is suggested as the organization most capable of mounting a valid certification program through competency examination if certification became a reality it would affect accreditation the content of library science courses autonomy of library and information schools and enrollment
the politics of library artifacts the national brunion catalog	2004	this article presents case studies of the social shaping of the national union catalog nuc in seven countries four in central and eastern europe two in the baltic region and south africa the purpose is to illustrate how technology developments do not occur independently of their social context but rather are coâ€constituted by the interaction between the various players involved interviews with library policy makers and project managers were conducted between 1999 and 2002 the key question investigated is how much of the development of a national union catalog is influenced by choices that are not solely technical but that include players differing visions the solutions that they feel they need to adopt the difficulties they may encounter and their cultural practices findings show that the variety of coalitions and their respective visions and choices have an impact on the conception and design of a national union catalog the case studies also raise broader issues of technology diffusion local knowledge cultural practices and national identity
reimagining the role of school libraries in stem education creating hybrid spaces for exploration	2012	in recent years many technological interventions have surfaced such as virtual worlds games and digital labs that aspire to link young peoples interest in media technology and social networks to learning about science technology engineering and math stem areas despite the tremendous interest surrounding young people and stem education the role of school libraries in these initiatives is rarely examined in this article we outline a sociocultural approach to explore how school library programs can play a critical role in stem education and articulate the need for research that examines the contributions of school libraries as potential hybrid spaces for stem learning we propose that school library programs become active participants in stem learning through the specific roles that school librarians currently play in schools such as information specialist instructional partner and technology ally we also highlight how these roles can be tailored toward helping young people develop stem identities
the humanistic scholar and the library	1980	this article seeks to address some of the implications of humanistic modes of scholarship for recent library developments an attempt is made to characterize some of the essential habits of mind and scholarly needs of humanists as these affect issues in acquisition allocation of funds book preservation computerization problems of access to and use of collections some attention is paid to the changed and changing nature of humanistic research in part the paper tries to respond to the proposition advanced by don swanson that a model of knowledge suggested by karl popper can serve to acquaint librarians with the mental habits of library users toward the end some questions are posed about the implications for the library profession and library users deriving from the close interrelation between problems of the library and society
the impact of unions on salaries in public libraries	1985	the objective of this study was to test the following hierarchical regression model a library employees salary is a function of 1 the size of the library 2 the strength of public sector collective bargaining in the state 3 the librarys ability to pay 4 the cost of living in the area 5 the presence of any union in the library and 6 the presence of a union representing librarians in the library the model was tested on three salary levels those of the department head the beginning librarian and the clerical worker results indicate that librarian union presence explains 5 14 percent of the variation in librarians salaries no significant amount of variation in the salaries of department heads or clerical workers is explained by librarian union presence simple union presence can explain 11 17 percent of the variation in the salaries of clerical workers simple union presence does not explain any of the variation in the salaries of librarians or department heads
